Column1,road_code,road_name,serial_number,si_do
80816,3.01103E+11,냉천로,0,대전광역시
80817,3.01103E+11,냉천로,1,대전광역시
80818,3.01103E+11,냉천로,2,대전광역시
80819,3.01103E+11,냉천로,3,대전광역시
80820,3.01103E+11,대동로,0,대전광역시
80821,3.01103E+11,대동로,1,대전광역시
80822,3.01103E+11,대동로,2,대전광역시
80823,3.01103E+11,대별로,0,대전광역시
80824,3.01103E+11,대별로,1,대전광역시
80825,3.01103E+11,대전천동로,0,대전광역시
80826,3.01103E+11,대전천동로,1,대전광역시
80827,3.01103E+11,대전천동로,2,대전광역시
80828,3.01103E+11,대전천동로,3,대전광역시
80829,3.01103E+11,대전천동로,4,대전광역시
80830,3.01103E+11,대전천동로,5,대전광역시
80831,3.01103E+11,대전천동로,6,대전광역시
80832,3.01103E+11,대전천동로,7,대전광역시
80833,3.01103E+11,대전천동로,8,대전광역시
80834,3.01103E+11,대학로,0,대전광역시
80835,3.01103E+11,대학로,1,대전광역시
80836,3.01103E+11,동구청로,0,대전광역시
80837,3.01103E+11,동구청로,1,대전광역시
80838,3.01103E+11,동구청로,2,대전광역시
80839,3.01103E+11,동구청로,3,대전광역시
80840,3.01103E+11,동대전로,0,대전광역시
80841,3.01103E+11,동대전로,1,대전광역시
80842,3.01103E+11,동대전로,2,대전광역시
80843,3.01103E+11,동대전로,3,대전광역시
80844,3.01103E+11,동대전로,4,대전광역시
80845,3.01103E+11,동대전로,5,대전광역시
80846,3.01103E+11,동중앙로,0,대전광역시
80847,3.01103E+11,동중앙로,1,대전광역시
80848,3.01103E+11,동중앙로,2,대전광역시
80849,3.01103E+11,동중앙로,3,대전광역시
80850,3.01103E+11,매봉로,0,대전광역시
80851,3.01103E+11,매봉로,1,대전광역시
80852,3.01103E+11,백룡로,0,대전광역시
80853,3.01103E+11,백룡로,1,대전광역시
80854,3.01103E+11,백룡로,2,대전광역시
80855,3.01103E+11,비래서로,0,대전광역시
80856,3.01103E+11,비래서로,1,대전광역시
80857,3.01103E+11,비룡로,0,대전광역시
80858,3.01103E+11,비룡로,1,대전광역시
80859,3.01103E+11,삼정로,0,대전광역시
80860,3.01103E+11,삼정로,1,대전광역시
80861,3.01103E+11,삼정로,2,대전광역시
80862,3.01103E+11,새울로,0,대전광역시
80863,3.01103E+11,새울로,1,대전광역시
80864,3.01103E+11,새울로,2,대전광역시
80865,3.01103E+11,성남로,0,대전광역시
80866,3.01103E+11,성남로,1,대전광역시
80867,3.01103E+11,성남로,2,대전광역시
80868,3.01103E+11,성동로,0,대전광역시
80869,3.01103E+11,성동로,1,대전광역시
80870,3.01103E+11,세천공원로,0,대전광역시
80871,3.01103E+11,세천공원로,1,대전광역시
80872,3.01103E+11,세천공원로,2,대전광역시
80873,3.01103E+11,세천로,0,대전광역시
80874,3.01103E+11,세천로,1,대전광역시
80875,3.01103E+11,송촌남로,0,대전광역시
80876,3.01103E+11,송촌남로,1,대전광역시
80877,3.01103E+11,송촌남로,2,대전광역시
80878,3.01103E+11,용운로,0,대전광역시
80879,3.01103E+11,용운로,1,대전광역시
80880,3.01103E+11,용운로,2,대전광역시
80881,3.01103E+11,이사로,0,대전광역시
80882,3.01103E+11,이사로,1,대전광역시
80883,3.01103E+11,이사로,2,대전광역시
80884,3.01103E+11,이화로,0,대전광역시
80885,3.01103E+11,이화로,1,대전광역시
